feature	accession_number	experiment_file	control_file
HCFC1	GSE36030	HCFC1_GSE36030.fastq.bed.sorted.bam	input_GSE36030.fastq.bed.sorted.bam
HDAC1	GSE27841	HDAC1_GSE27841.fastq.bed.sorted.bam	input_GSE11724.fastq.bed.sorted.bam
HDAC2	GSE27841	HDAC2_GSE27841.fastq.bed.sorted.bam	input_GSE11724.fastq.bed.sorted.bam
HDAC3	GSE116480	HDAC3_GSE116480.fastq.bed.sorted.bam	input_GSE116480.fastq.bed.sorted.bam
KDM2A	GSE40860	KDM2a_GSE40860.fastq.bed.sorted.bam	input_GSE40860.fastq.bed.sorted.bam
KDM2B	GSE40860	KDM2b_GSE40860.fastq.bed.sorted.bam	input_GSE40860.fastq.bed.sorted.bam
KLF4	GSE11431	KLF4_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
LSD1	GSE27841	LSD1_GSE27841.fastq.bed.sorted.bam	input_GSE11724.fastq.bed.sorted.bam
MAFK	GSE36030	MAFK_GSE36030.fastq.bed.sorted.bam	input_GSE36030.fastq.bed.sorted.bam
MAX	GSE48175	MAX_GSE48175.fastq.bed.sorted.bam	input_GSE48175.fastq.bed.sorted.bam
MED1	GSE22562	MED1_GSE22562.fastq.bed.sorted.bam	input_GSE22562.fastq.bed.sorted.bam
MED12	GSE22562	MED12_GSE22562.fastq.bed.sorted.bam	input_GSE22562.fastq.bed.sorted.bam
MLL2	GSE48172	MLL2_GSE48172.fastq.bed.sorted.bam	input_GSE48172.fastq.bed.sorted.bam
NANOG	GSE44286	NANOG_GSE44286.fastq.bed.sorted.bam	input_GSE44286.fastq.bed.sorted.bam
NIPBL	GSE22562	NIPBL_GSE22562.fastq.bed.sorted.bam	input_GSE22562.fastq.bed.sorted.bam
NMYC	GSE11431	NMYC_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
OCT4	GSE44286	OCT4_GSE44286.fastq.bed.sorted.bam	input_GSE44286.fastq.bed.sorted.bam
OGT	GSE39154	OGT_GSE39154.fastq.bed.sorted.bam	input_GSE39154.fastq.bed.sorted.bam
RING1B	GSE34518	RING1B_GSE34518.fastq.bed.sorted.bam	input_GSE34518.fastq.bed.sorted.bam
RNAPII	GSE28247	RNAPII_GSE28247.fastq.bed.sorted.bam	input_GSE28247.fastq.bed.sorted.bam
RNAPII_8WG16	GSE34518	RNAPII_8WG16_GSE34518.fastq.bed.sorted.bam	input_GSE34518.fastq.bed.sorted.bam
RNAPII_S2P	GSE34518	RNAPII_S2P_GSE34518.fastq.bed.sorted.bam	input_GSE34518.fastq.bed.sorted.bam
RNAPII_S5P	GSE34518	RNAPII_S5P_GSE34518.fastq.bed.sorted.bam	input_GSE34518.fastq.bed.sorted.bam
RNAPII_S7P	GSE34518	RNAPII_S7P_GSE34518.fastq.bed.sorted.bam	input_GSE34518.fastq.bed.sorted.bam
RYBP	GSE42466	RYBP_GSE42466.fastq.bed.sorted.bam	input_GSE42466_CBX7_RYBP.fastq.bed.sorted.bam
SIN3A	GSE24841	SIN3A_GSE24841_abcam.fastq.bed.sorted.bam	input_GSE24841.fastq.bed.sorted.bam
SMC1	GSE22562	SMC1_GSE22562.fastq.bed.sorted.bam	input_GSE22562.fastq.bed.sorted.bam
SMC3	GSE22562	SMC3_GSE22562.fastq.bed.sorted.bam	input_GSE22562.fastq.bed.sorted.bam
SOX2	GSE44286	SOX2_GSE44286.fastq.bed.sorted.bam	input_GSE44286.fastq.bed.sorted.bam
SUZ12	GSE49431	SUZ12_GSE49431.fastq.bed.sorted.bam	input_GSE49431.fastq.bed.sorted.bam
TAF1	GSE30959	TAF1_GSE30959.fastq.bed.sorted.bam	input_GSE30959_TAF1.fastq.bed.sorted.bam
TAF3	GSE30959	TAF3_GSE30959.fastq.bed.sorted.bam	input_GSE30959_TAF3.fastq.bed.sorted.bam
TBP	GSE30959	TBP_GSE30959.fastq.bed.sorted.bam	input_GSE30959_TBP.fastq.bed.sorted.bam
TCF3	GSE11724	TCF3_GSE11724.fastq.bed.sorted.bam	input_GSE11724.fastq.bed.sorted.bam
TCFCP2I1	GSE11431	TCFCP2I1_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
TET1	GSE24841	TET1_GSE24841_C.fastq.bed.sorted.bam	input_GSE24841.fastq.bed.sorted.bam
YY1	GSE68195	YY1_GSE68195.fastq.bed.sorted.bam	input_GSE68195.fastq.bed.sorted.bam
ZNF384	GSE36030	ZNF384_GSE36030.fastq.bed.sorted.bam	input_GSE36030.fastq.bed.sorted.bam
